,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
1437,iPhone 12 128GB (Global),140426307,15,67702,57546,Apple,6049,0,0,https://www.wildberries.ru/catalog/140426307/detail.aspx?targetUrl=BP
1438,iPhone 12 128GB (Global),140426823,15,67702,57546,Apple,6049,0,0,https://www.wildberries.ru/catalog/140426823/detail.aspx?targetUrl=BP
1439,iPhone 12 128GB (Global),140426461,15,67702,57546,Apple,6049,0,0,https://www.wildberries.ru/catalog/140426461/detail.aspx?targetUrl=BP
1440,iPhone 12 128GB (ИНДИЯ),137521694,15,67702,57546,Apple,6049,0,0,https://www.wildberries.ru/catalog/137521694/detail.aspx?targetUrl=BP
1441,Apple iPhone 11 64Gb Black Green Yellow Red,94039679,11,63990,56951,,0,0,0,https://www.wildberries.ru/catalog/94039679/detail.aspx?targetUrl=BP
1442,"Смартфон Cat S62 Pro 5.7"" 2160 1080 ГБ 4000 MAh NFC IP68",44883978,5,69990,66490,Caterpillar,1001,0,0,https://www.wildberries.ru/catalog/44883978/detail.aspx?targetUrl=BP
1443,Смартфон Samsung Galaxy S22 8 256Gb,101379659,0,65899,65899,,0,0,0,https://www.wildberries.ru/catalog/101379659/detail.aspx?targetUrl=BP
1444,"Смартфон Galaxy S22 5G 6.1"" 2400x1080 dAMOLED Exynos 2200 8G…",112412903,26,72990,54012,Samsung,5772,5,5,https://www.wildberries.ru/catalog/112412903/detail.aspx?targetUrl=BP
1445,Apple смартфон iPhone 12,122810579,75,250000,62500,,0,0,0,https://www.wildberries.ru/catalog/122810579/detail.aspx?targetUrl=BP
1446,iPhone 12 64GB (Global),140490429,13,60657,52771,Apple,6049,0,0,https://www.wildberries.ru/catalog/140490429/detail.aspx?targetUrl=BP
1447,iPhone 12 64GB (Global),140426633,13,60657,52771,Apple,6049,0,0,https://www.wildberries.ru/catalog/140426633/detail.aspx?targetUrl=BP
1448,iPhone 12 64GB (Global),140425983,13,60657,52771,Apple,6049,0,0,https://www.wildberries.ru/catalog/140425983/detail.aspx?targetUrl=BP
1449,"Смартфон САТ S62PRO 5.7'' 2160x1080 FHD+ 6+128ГБ 12+0,02МП N…",44883862,0,59990,59990,Caterpillar,1001,1,1,https://www.wildberries.ru/catalog/44883862/detail.aspx?targetUrl=BP
1450,Смартфон Pixel 6 Pro 12 128Gb JP Version,48909192,11,65157,57989,Google,57548,0,0,https://www.wildberries.ru/catalog/48909192/detail.aspx?targetUrl=BP
1451,Смартфон Galaxy A33 5G 128GB,101918025,0,47500,47500,AS_production,2682514,0,0,https://www.wildberries.ru/catalog/101918025/detail.aspx?targetUrl=BP
1452,Смартфон Galaxy A73 5G 128GB,94877624,0,55000,55000,,0,0,0,https://www.wildberries.ru/catalog/94877624/detail.aspx?targetUrl=BP
1453,Смартфон Galaxy A73 5G 128GB,94716000,0,55000,55000,,0,0,0,https://www.wildberries.ru/catalog/94716000/detail.aspx?targetUrl=BP
1454,Смартфон Galaxy S20 FE 6 128Gb Green,92199075,0,55000,55000,Samsung,5772,0,0,https://www.wildberries.ru/catalog/92199075/detail.aspx?targetUrl=BP
1455,Смартфон Galaxy A73 5G 256GB новый,103977748,30,65000,45500,Samsung,5772,0,0,https://www.wildberries.ru/catalog/103977748/detail.aspx?targetUrl=BP
1456,"Смартфон 11T Pro 6,67"" 8+128 Гб 108+8+5 Мп 16 Мп",47366075,17,54654,45362,Xiaomi,19467,2,5,https://www.wildberries.ru/catalog/47366075/detail.aspx?targetUrl=BP
1457,Смартфон Galaxy A52 8 ГБ 256 ГБ,113163092,24,69790,53040,Samsung,5772,1,5,https://www.wildberries.ru/catalog/113163092/detail.aspx?targetUrl=BP
1458,Смартфон11 128GB,102966102,20,56200,44960,monotec,310440948,0,0,https://www.wildberries.ru/catalog/102966102/detail.aspx?targetUrl=BP
1459,iPhone 11 128GB (Global),140388419,20,54990,43992,Apple,6049,0,0,https://www.wildberries.ru/catalog/140388419/detail.aspx?targetUrl=BP
1460,iPhone 11 128GB (Global),140425640,20,54990,43992,Apple,6049,0,0,https://www.wildberries.ru/catalog/140425640/detail.aspx?targetUrl=BP
1461,iPhone 11 128GB (Global),139448124,20,54990,43992,Apple,6049,0,0,https://www.wildberries.ru/catalog/139448124/detail.aspx?targetUrl=BP
1462,Apple iPhone 11 Pro Max 512GB айфон 11 про макс,138817373,0,51100,51100,AppClinic,881889,0,0,https://www.wildberries.ru/catalog/138817373/detail.aspx?targetUrl=BP
1463,Apple iPhone 11 Pro Max 512GB айфон 11 про макс,138866515,0,51100,51100,AppClinic,881889,0,0,https://www.wildberries.ru/catalog/138866515/detail.aspx?targetUrl=BP
1464,Смартфон Galaxy S20 FE (Snapdragon 865) 128Гб мята,115764854,0,49990,49990,Samsung,5772,0,0,https://www.wildberries.ru/catalog/115764854/detail.aspx?targetUrl=BP
