,id,country,weight,width,height,thickness,screen_resol,screen_size,screen_type,MaxSDMemory,PhoneMemory,RAM,OperSystem,SIMType,Warranty,CPUType,CPUFreq,CPUCores,MainCameraMP,FrontCameraMP,SIMNumber,Wireless,CommunicStand,SatelliteNavig,Battery,InterfaceType,MusicWorkingTime,VideoWorkingTime,sales_count
413,85452425,Вьетнам,228 г,7.79 см,16.3 см,0.89 см,3088x1440,"6.8""",Dynamic AMOLED 2X,,512 ГБ,12 ГБ,Android,Nano-SIM,1 год,Samsung Exynos 2200,2800 МГц,8 ядер,108 Мп,,2,BlueTooth 5.2; NFC; Wi-Fi,4G; 5G; LTE,Galileo; GPS; ГЛОНАСС,5000 mAh,USB Type-C,,,20
414,116546337,Китай,194 г,7.7 см,16.4 см,0.9 см,1600 x 720,"6.53""",IPS,1 ТБ,32 ГБ,2 ГБ,Andriod,Nano-SIM,1 год,MediaTek Helio G25,2 МГц,8,13 Мп,,2 nano SIM,Wi-Fi; Bluetooth (5.0),2G / 3G / 4G LTE,"GALILEO, Beidou, A-GPS, GPS, ГЛОНАСС",5000 mAh,Micro USB; 3.5 mm jack,,,400
415,133642940,Вьетнам,,,,0.8 см,2400x1080,"6.5""",Super AMOLED,1 ТБ,256 ГБ,8 ГБ,Android,Nano-SIM,1 год,Samsung Exynos 1280,,8 ядер,,,2,NFC; Wi-Fi; Bluetooth 5.1,4G; 5G; LTE,ГЛОНАСС; GPS; Galileo,5000 mAh,USB Type-C,,,10
416,135458429,Китай,,,,,1612x720,6.56,Multitouch; IPS,128 ГБ,32 ГБ,2 ГБ,Android 12,nano SIM,13 месяцев,MediaTek Helio A22,2000 МГц,4,2 Мп,5 Мп,2SIM,"Bluetooth, Wi-Fi","4G LTE, 3G, 2G","4G LTE, 3G, 2G",5000 мAч,3.5 мм; Micro USB,,,60
417,102249406,Китай,202 г,7.59 см,16.31 см,0.86 см,2712 × 1220,"6.67""",AMOLED 120 Гц,,256 ГБ,8 ГБ,Android,nano SIM,1 год,MediaTek Dimensity 8100-Ultra,2850 МГц,8,,20 Мп,2,Bluetooth 5.3; Wi-Fi; NFC; ИК-Порт,2G/ 3G/ 4G LTE/ 5G,"GPS / A-GPS, ГЛОНАСС, Galileo, Beidou",5000 мА·ч,USB Type-C,,,10
418,98224165,Китай,188 г,,17 см,,1920x1080,5.5 дюйма,ips retina,,128 ГБ,4 GB,iOS,nano SIM,,Apple A11,,6 ядер,12 Мп,,1 SIM,"Apple AirPlay 2; W-fi; WI-FI 2*2-MIMO, Bluetooth 5.0",,A-GPS; ГЛОНАСС,2900 мА*ч,Lighthing,,,40
419,16720939,Китай,285 г,,,,,5.5'',,,,,,,1год,MT6761,,,13 Мп,,2,Wi-Fi; Bluetooth 5.0,3G; 4G; LTE-A,,8000 мА*ч,USB Type-C,,,50
420,133644908,Вьетнам,,7.06 см,,0.7 см,2400x1080,"6.1""",Dynamic AMOLED 2X,,256 ГБ,8 ГБ,Android,Nano-SIM,1 год,Samsung Exynos 2200,,8 ядер,,,2,BlueTooth 5.2; NFC; Wi-Fi,4G; 5G; LTE,Galileo; GPS; ГЛОНАСС,3700 mAh,USB Type-C,,,5
421,113210237,Китай,176 г,7 см,15.27 см,0.82 см,2400 x 1080,"6.28""",AMOLED,,256 ГБ,8 ГБ,Android,Nano-SIM,1 год,Snapdragon 870,2400 МГц,8,,,2,"NFC; Bluetooth 5.1; Wi-Fi 2,4 GHz / 5 GHz",2G / 3G / 4G LTE / 5G,GPS / ГЛОНАСС / Galileo/ Beidou / A-GPS,4500 мАч,USB Type-C,,,10
422,99798922,Китай,,,,,2460x1080,"6.78""",IPS,256,128,8,Android,Nano-SIM,12 месяцев,MediaTek Helio G96,,8,,,2,Bluetooth; WiFi; NFC,2G; 3G; 4G,,5000,USB Type-C,,,80
423,112412886,Вьетнам,228 г,7.79 см,16.3 см,0.89 см,3088x1440,"6.8""",Dynamic AMOLED 2X,,128 ГБ,8 ГБ,Android,Nano-SIM,1 год,Samsung Exynos 2200,2800 МГц,8 ядер,,,2,NFC; Wi-Fi; BlueTooth 5.2,4G; 5G; LTE,ГЛОНАСС; GPS; Galileo,5000 mAh,USB Type-C,,,5
