,Наименование,Скидка,Цена,Цена со скидкой,Бренд,feedbacks,rating,Ссылка,high_rating,memory_size,op_memory,bought,screen_size
2193,"iPhone XR  ""Как новый""",8,40000,36800,Apple,4,4,https://www.wildberries.ru/catalog/104974580/detail.aspx?targetUrl=BP,1,128Gb,,,
2194,"64 ""Как новый""",18,39990,32791,Apple,5,5,https://www.wildberries.ru/catalog/104038232/detail.aspx?targetUrl=BP,1,64Gb,,,
2195,(A325F) Galaxy A32 4  Голубой,11,23142,20596,Samsung,3,5,https://www.wildberries.ru/catalog/33428754/detail.aspx?targetUrl=BP,1,64Gb,,,
2196,Camon 19 NEO 6 ,11,15548,13837,TECNO,1,5,https://www.wildberries.ru/catalog/116818636/detail.aspx?targetUrl=BP,1,128Gb,,,
2197,Galaxy A13 3 ,11,14617,13009,Samsung,5,4,https://www.wildberries.ru/catalog/116076592/detail.aspx?targetUrl=BP,1,32Gb,,,
2200,Y21 4  синий металлик,0,9890,9890,VIVO,1,5,https://www.wildberries.ru/catalog/96698076/detail.aspx?targetUrl=BP,1,64Gb,,,
2201,Redmi 6 сенсорный мобильный телефон,3,11031,10700,Xiaomi,3,5,https://www.wildberries.ru/catalog/138154477/detail.aspx?targetUrl=BP,1,64Gb,4Gb,5,5.45
2203,XR20 6  TA-1362,0,42990,42990,Nokia,1,1,https://www.wildberries.ru/catalog/122012349/detail.aspx?targetUrl=BP,0,128Gb,,,
2210,Redmi 10C 4 ,0,28996,28996,Xiaomi,5,5,https://www.wildberries.ru/catalog/118076725/detail.aspx?targetUrl=BP,1,128Gb,,,
2211,"C30, 4 ",0,7990,7990,Realme,1,5,https://www.wildberries.ru/catalog/96484344/detail.aspx?targetUrl=BP,1,64Gb,,,
2212,"Iphone 8 64 gb ""Как новый""",35,33000,21450,Apple,3,5,https://www.wildberries.ru/catalog/103677171/detail.aspx?targetUrl=BP,1,64Gb,,,
2215,"Apple iphone X 256 ""Resale""",30,45000,31500,Apple,1,1,https://www.wildberries.ru/catalog/104038815/detail.aspx?targetUrl=BP,0,256Gb,,,
2216,A33  128Gb,0,24700,24700,Samsung,2,5,https://www.wildberries.ru/catalog/113007573/detail.aspx?targetUrl=BP,1,128Gb,6Gb,,
2219,C25S 4.,0,14990,14990,Realme,6,5,https://www.wildberries.ru/catalog/39054458/detail.aspx?targetUrl=BP,1,128Gb,,,
2223,P30 Lite сенсорный мобильный телефон,30,26429,18500,Huawei,1,2,https://www.wildberries.ru/catalog/134128925/detail.aspx?targetUrl=BP,0,128Gb,4Gb,5,6.15
2224,Galaxy A13 ,5,15990,15190,Samsung,2,4,https://www.wildberries.ru/catalog/99870985/detail.aspx?targetUrl=BP,1,64Gb,,,
2225,Pop 6 Pro 2  Черный,11,6278,5587,TECNO,2,5,https://www.wildberries.ru/catalog/123353375/detail.aspx?targetUrl=BP,1,32Gb,8Gb,,
2226,Смартфон,11,4722,4202,ITEL,1,5,https://www.wildberries.ru/catalog/79574141/detail.aspx?targetUrl=BP,1,32Gb,2Gb,10,5.45
2228, 12X  12,35,79990,51993,Xiaomi,1,5,https://www.wildberries.ru/catalog/90488315/detail.aspx?targetUrl=BP,1,128Gb,8Gb,5,6.28
